"","Cantidad_TGC_1","Cantidad_TGC_2","Respuesta_A","Respuesta_B","Direccion","Separacion","correctas_A","correctas_B","correctas"
"8348","1","0","1","1","45",17,1,0,0
"8349","1","1","1","2","0",5,1,0,0
"8350","0","1","0","1","45",17,1,1,1
"8351","0","1","0","1","0",8,1,1,1
"8352","0","1","0","1","90",3,1,1,1
"8353","1","2","2","1","90",17,0,0,0
"8354","1","1","1","2","135",8,1,0,0
"8355","0","0","0","0","90",3,1,1,1
"8356","0","2","0","1","45",5,1,0,0
"8357","1","0","2","1","90",8,0,0,0
"8358","0","1","0","1","45",14,1,1,1
"8359","1","0","2","1","90",14,0,0,0
"8360","0","0","0","1","135",3,1,0,0
"8361","1","1","2","2","0",17,0,0,0
"8362","0","2","0","1","0",14,1,0,0
"8363","1","0","1","1","45",14,1,0,0
"8364","2","1","1","1","135",20,0,1,0
"8365","1","1","1","0","0",8,1,0,0
"8366","0","1","0","1","45",8,1,1,1
"8367","1","1","1","2","90",11,1,0,0
"8368","0","1","0","0","45",20,1,0,0
"8369","0","0","0","3","135",3,1,0,0
"8370","1","1","1","2","0",20,1,0,0
"8371","1","1","1","1","0",17,1,1,1
"8372","0","1","0","1","45",17,1,1,1
"8373","2","0","2","1","45",8,1,0,0
"8374","1","2","2","1","135",14,0,0,0
"8375","0","0","0","2","45",5,1,0,0
"8376","1","0","1","1","90",11,1,0,0
"8377","2","1","2","0","45",20,1,0,0
"8378","0","1","0","1","0",14,1,1,1
"8379","1","1","1","1","45",8,1,1,1
"8380","1","1","2","1","135",11,0,1,0
"8381","0","1","0","2","0",17,1,0,0
"8382","1","2","1","3","135",11,1,0,0
"8383","0","1","0","1","135",5,1,1,1
"8384","1","1","0","1","45",14,0,1,0
"8385","1","1","1","1","0",5,1,1,1
"8386","1","1","1","1","90",17,1,1,1
"8387","1","0","1","0","90",5,1,1,1
"8388","0","2","0","0","45",20,1,0,0
"8389","1","0","1","0","135",14,1,1,1
"8390","1","0","1","0","135",5,1,1,1
"8391","0","2","0","3","0",17,1,0,0
"8392","1","2","1","2","45",8,1,1,1
"8393","1","0","2","0","0",20,0,1,0
"8394","2","0","2","0","135",5,1,1,1
"8395","2","1","2","1","90",11,1,1,1
"8396","0","0","0","0","45",8,1,1,1
"8397","0","1","0","0","90",17,1,0,0
"8398","1","2","1","2","45",20,1,1,1
"8399","1","2","1","3","90",8,1,0,0
"8400","1","1","1","0","135",17,1,0,0
"8401","0","1","1","0","90",20,0,0,0
"8402","1","1","1","1","0",14,1,1,1
"8403","0","0","0","0","0",3,1,1,1
"8404","1","1","0","2","45",14,0,0,0
"8405","0","1","0","1","90",5,1,1,1
"8406","3","1","3","0","45",14,1,0,0
"8407","0","0","0","0","0",14,1,1,1
"8408","1","1","1","2","135",17,1,0,0
"8409","0","2","0","2","0",14,1,1,1
"8410","1","0","1","0","90",8,1,1,1
"8411","3","0","3","0","135",3,1,1,1
"8412","1","2","3","0","135",17,0,0,0
"8413","1","2","2","2","135",14,0,1,0
"8414","1","1","1","1","90",20,1,1,1
"8415","1","2","1","2","135",11,1,1,1
"8416","1","1","1","1","90",8,1,1,1
"8417","1","0","1","0","135",5,1,1,1
"8418","1","0","2","0","45",14,0,1,0
"8419","2","1","2","1","135",8,1,1,1
"8420","2","1","2","1","135",14,1,1,1
"8421","0","1","0","1","0",20,1,1,1
"8422","1","2","1","3","135",11,1,0,0
"8423","0","1","0","1","135",8,1,1,1
"8424","0","2","0","1","135",17,1,0,0
"8425","1","1","1","1","90",20,1,1,1
"8426","1","1","2","1","0",3,0,1,0
"8427","0","0","0","0","45",11,1,1,1
"8428","1","1","1","1","90",3,1,1,1
"8429","1","2","1","2","90",5,1,1,1
"8430","3","0","3","1","0",3,1,0,0
"8431","1","1","1","1","45",5,1,1,1
"8432","1","0","1","0","0",14,1,1,1
"8433","0","2","1","2","90",11,0,1,0
"8434","0","1","0","1","135",11,1,1,1
"8435","1","1","1","0","135",20,1,0,0
"8436","2","0","2","0","45",5,1,1,1
"8437","1","0","2","0","45",11,0,1,0
"8438","2","0","2","0","0",17,1,1,1
"8439","3","2","3","2","0",14,1,1,1
"8440","0","2","0","2","90",3,1,1,1
